Mol_i	Mol_j_nearest	extracted_value	Distance_nm	NN_Distance_nm
1000	698	0.0086763445541123	0.807773	78.803
1001	1080	0.0351917555451334	0.70833	33.552
1002	758	0.0244441753032811	0.703628	44.672
1003	1459	0.0306991520067734	0.741515	37.015
1005	1028	0.0477150550455857	0.593016	72.787
1006	16	0.0550998780513319	0.823686	63.007
1007	1163	0.1257001882818152	0.61439	42.58
1008	405	0.0764020618498078	0.744397	61.423
1011	576	0.030292743531838	0.611834	34.581
1012	180	0.0269324181396068	0.705868	52.881
1013	1442	0.0684680112996084	0.558577	14.466
1014	293	0.0142284470453736	0.442451	18.06
1015	828	0.0086257565263735	0.687131	71.593
1017	187	0.0364765258301002	0.644621	34.465
1018	300	0.0213499871092247	0.489627	36.15
1019	431	0.0548191499753503	0.523195	41.383
1021	81	0.0017023324939143	0.827814	44.979
1022	1287	0.0135883810248731	0.816143	47.01
1023	653	0.0699723370271425	0.564732	25.427
1024	1374	0.0293318520262466	0.581318	74.109
1025	714	0.0571213254694438	0.85053	88.047
1026	1178	0.0184024893531844	0.47755	15.298
1027	1440	0.0156101778967686	0.534067	30.431
1028	1005	0.009611212783183	0.593016	72.787
1029	89	0.0315306812047167	0.741257	84.587
102	581	0.0238022192627492	0.634711	23.473
1030	563	0.0099958049599084	0.781797	32.545
1031	878	0.0113981264850243	0.434064	8.141
1032	253	0.0359466481341968	0.787772	67.944
1033	1340	0.0898183834338751	0.537202	31.339
1034	1048	0.0316423595664767	0.422838	16.885
1036	786	0.0789220935929147	0.720341	35.931
1037	174	0.0121271632172798	0.685691	89.691
1039	546	0.0212208594974361	0.878735	66.659
103	140	0.0645300229075858	0.881873	59.233
1040	1242	0.0381388609864629	0.646862	33.176
1041	364	0.0031546611165014	0.866786	25.744
1042	1391	0.024556135027189	0.583626	20.477
1043	1044	0.0169405635532713	0.513932	24.059
1044	309	0.004544766565869	0.486764	31.272
1045	34	0.0072591063576144	0.736307	69.544
1046	1487	0.0215010082740802	0.72481	46.805
1047	139	0.0095337600382305	0.52604	25.332
1048	1034	0.1083168834603767	0.422838	16.885
1049	406	0.1283913262418988	0.640516	28.252
104	1292	0.0217936385447579	0.609543	67.413
1050	582	0.0278530149167253	0.610368	32.483
1051	1474	0.0015881842065656	0.899091	36.15
1052	753	0.0201041047247233	0.55699	16.227
1053	456	0.0016420538742207	0.537364	21.84
1055	497	0.0180971560285571	0.714971	38.098
1056	1068	0.0519067756184434	0.543928	31.334
1057	485	0.041161093159991	0.848306	60.601
1058	817	0.0426819751076274	0.55966	70.603
1059	1409	0.0561616436045682	0.607575	65.596
1060	1197	0.0224939217686334	0.613501	43.604
1061	239	0.1224956663817188	0.456398	23.169
1063	533	0.0108222704146794	0.728242	29.23
1065	480	0.0060430551019676	0.526092	21.283
1066	201	0.1205141209708904	0.51346	16.651
1067	71	0.0335576391265481	0.677917	45.964
1068	47	0.0080222484497645	0.513416	21.353
1069	434	0.0279938061647057	0.779719	85.138
106	487	0.0182119883614105	0.485915	30.193
1071	166	0.0007194428566651	0.766504	30.158
1073	709	0.2302240331036074	0.421759	26.475
1074	13	0.1314832529198146	0.435394	24.394
1075	526	0.0728337887719328	0.594509	59.643
1076	852	0.0466794173314762	0.453333	20.222
1077	746	0.03970429702938	0.605153	46.99
1078	1493	0.0263896334288463	0.562728	49.299
107	394	0.0092036349912766	0.731073	18.473
1080	1001	0.0522194249137626	0.70833	33.552
1081	188	0.0106030809097718	0.43533	21.028
1082	392	0.1164504213053818	0.573503	41.234
1083	999	0.0028128015466497	0.756644	49.23
1085	566	0.0408033195608967	0.623467	69.605
1087	1404	0.1143489157706528	0.573962	66.876
1089	1262	0.0021073260540969	0.746261	48.406
1090	859	0.0094183644019394	0.549376	64.673
1091	1261	0.0028153878140222	0.811602	71.941
1092	408	0.0023569239828535	0.598574	44.754
1093	1409	0.0120576522335142	0.592122	41.075
1094	749	0.0054652544263728	0.461948	11.538
1095	1369	0.1521981511719411	0.626066	31.549
1097	750	0.0141795573018357	0.593884	49.7
1099	221	0.0039024326332518	0.462247	23.76
109	773	0.0217611716281616	0.608924	59.944
10	623	0.0957633691719607	0.434776	13.013
1100	491	0.0172085534713249	0.589403	65.358
1101	126	0.0628263994988596	0.478097	19.407
1102	1318	0.1207395808763878	0.467627	11.923
1103	428	0.0386022736471259	0.780381	74.884
1104	855	0.0359922528402676	0.496404	22.911
1105	421	0.0060604740299966	0.614529	37.728
1106	803	0.0215351091255148	0.734377	4.114
1108	545	0.0108816733850986	0.896441	47.987
1109	905	0.0045346647445842	0.849393	21.863
1110	1449	0.00011473079801	0.658543	35.753
1112	349	0.1339192451266757	0.468659	17.774
1113	940	0.0246457603529933	0.596477	6.56
1114	985	0.0001609264062905	0.847276	38.943
1115	394	0.0689737569220692	0.538034	17.253
1117	339	0.0106063179178072	0.826262	35.438
1118	598	0.0224794638628001	0.761476	64.024
1119	577	0.0081900951272225	0.847065	27.291
111	84	0.0074210667665176	0.593597	43.325
1120	142	0.0038383447575597	0.535153	9.241
1121	1354	0.0145741218180856	0.672916	54.287
1123	29	0.052358341050421	0.467109	22.325
1124	598	0.032173082624443	0.683226	69.675
1125	142	0.0066642103484712	0.558164	44.355
1126	1293	0.0571532598895426	0.627174	46.501
1127	78	0.0059702647840436	0.726015	88.286
1128	273	0.0069960782197003	0.664288	36.601
1129	1165	0.0223476205095334	0.520407	16.517
112	1136	0.0323695578609088	0.746779	88.891
1130	992	0.0836311378058149	0.556881	35.49
1131	402	0.018859820906175	0.786152	83.135
1132	88	0.0210275391827811	0.740569	65.798
1133	762	0.0594307234462626	0.696138	46.902
1134	208	0.0238721715432676	0.822184	35.091
1135	700	0.0211933415373947	0.587578	34.351
1136	1336	0.0441939031402105	0.552032	63.797
1139	1300	0.0889990931323787	0.607076	55.319
1140	15	0.0381016801454162	0.602567	63.429
1142	402	0.0565691503567622	0.493199	28.938
1143	229	0.1040691674103987	0.499287	28.434
1145	669	0.1446047202462176	0.473734	35.005
1146	241	0.009628529443	0.704951	76.915
1147	593	0.0101721057795973	0.629645	37.432
1148	1049	0.0306346662193858	0.662552	43.393
1149	459	4.8898691168791496e-05	0.823527	29.667
114	1425	0.0147607922025555	0.632234	88.86
1150	390	0.0123572731064395	0.503538	34.846
1151	449	0.0907788139143582	0.445066	22.58
1152	63	0.0315290411509322	0.66844	46.701
1153	587	0.0304652485723442	0.496928	4.443
1155	436	0.0012849286622564	0.871726	84.638
1156	504	0.0310672240348483	0.44843	22.445
1157	84	0.0218167000794128	0.823861	73.729
1158	1269	0.0108807620303214	0.602936	33.549
1159	873	0.0529304740739696	0.467876	23.352
115	1199	0.0158733702899133	0.678467	7.91
1160	913	0.0002609513369485	0.712807	23.378
1161	223	0.0079726619550288	0.702199	15.126
1163	1007	0.3328845358823565	0.61439	42.58
1165	1129	0.045568330451913	0.520407	16.517
1166	861	0.0229299415278593	0.825564	29.553
1168	495	0.0841074581050984	0.765369	59.96
1169	1218	0.1375876309257143	0.521724	27.282
116	664	0.0064234098213615	0.757103	11.73
1170	1082	0.0511984247774978	0.809416	66.524
1172	711	0.1398269773502429	0.61973	49.214
1173	232	0.0683460285043008	0.453394	20.325
1174	413	0.0479781379008015	0.775746	63.374
1176	282	0.1220731082962966	0.474857	4.853
1177	79	0.0144074781982131	0.564276	35.35
1178	1026	0.0148030439958701	0.47755	15.298
