mol_id_1,mol_id_2
1,2
1,1308
2,4
2,18
2,704
3,258
3,704
3,1380
3,1461
4,984
4,1330
5,161
5,760
5,1001
6,143
6,664
7,70
7,711
7,1325
8,346
8,700
9,558
9,711
9,814
9,845
9,1172
10,125
10,418
10,623
11,73
11,488
11,1043
11,1067
12,520
12,689
13,571
13,849
13,992
13,1074
14,62
14,343
14,524
14,709
15,614
15,766
16,103
16,551
16,767
16,1006
17,448
17,599
17,637
17,1395
18,1176
19,889
19,969
19,1304
20,547
20,795
20,914
20,937
21,250
21,339
22,327
22,1384
23,871
23,931
24,108
24,1175
24,1349
25,532
25,770
26,1399
26,1437
27,511
27,796
28,45
28,706
28,1085
28,1117
28,1191
29,306
29,331
29,729
29,1123
30,515
30,598
30,1124
30,1331
31,272
31,306
31,864
31,1434
31,1445
32,486
32,859
33,171
33,580
33,797
33,1233
34,240
34,1480
35,129
35,145
35,1254
35,1373
36,128
36,1188
37,341
37,686
37,1090
37,1344
38,141
38,840
38,1391
39,963
39,1022
39,1032
40,896
40,1415
41,65
41,363
41,805
41,1089
42,841
42,1141
42,1475
43,668
43,1102
44,369
44,381
44,685
45,194
45,404
46,521
46,969
47,228
47,517
47,1056
47,1068
48,624
48,1154
48,1402
48,1444
48,1458
49,217
49,445
50,839
50,1331
51,786
51,1184
51,1241
52,990
52,1376
52,1416
53,603
53,833
53,1498
54,261
54,1136
55,979
55,1057
55,1206
56,1290
56,1297
57,1139
57,1259
57,1484
58,516
58,553
58,1153
58,1218
59,1018
59,1497
60,723
60,1220
62,1162
62,1472
63,699
63,920
63,1152
64,71
64,165
64,693
65,566
65,1066
66,329
66,722
67,68
67,428
67,644
67,1321
68,900
68,1214
69,619
69,682
69,971
70,228
70,760
70,1227
70,1360
70,1456
71,165
72,584
72,618
72,1059
72,1276
73,482
74,433
74,1492
75,350
75,902
75,927
76,608
76,655
77,392
77,394
77,724
78,344
78,912
78,1293
78,1392
79,174
79,1177
79,1322
80,216
80,321
80,1457
81,126
81,424
81,1393
82,546
82,823
82,1060
83,1064
83,1183
83,1433
84,271
84,822
84,1145
84,1260
85,576
85,615
86,469
86,1216
87,750
87,1338
87,1363
88,224
88,346
88,1132
89,203
89,634
89,708
89,954
89,1029
90,508
90,881
90,1036
91,413
91,1174
91,1399
92,403
92,1254
92,1468
93,483
93,562
93,1118
94,498
94,664
94,989
94,1155
95,183
95,203
95,573
96,451
96,571
96,613
96,1303
96,1483
97,201
97,708
97,946
97,1123
98,700
98,858
98,930
98,1364
99,247
99,808
99,1301
99,1420
100,237
100,552
100,838
100,1048
101,984
101,1343
101,1487
102,293
102,581
102,697
102,1181
102,1245
103,140
103,551
103,1177
103,1315
104,427
104,834
105,576
105,597
106,487
106,1196
107,197
107,330
107,945
107,1305
108,570
108,850
108,1461
109,1323
109,1421
109,1499
110,808
110,1160
111,495
111,646
111,1157
111,1260
112,370
112,1136
112,1376
113,741
114,132
114,1059
114,1093
115,159
115,232
115,928
115,1199
116,436
116,664
117,135
117,1183
118,904
118,1124
119,259
119,922
119,964
119,1173
120,218
120,330
121,294
121,378
121,481
121,587
122,458
122,779
122,933
123,380
123,1098
123,1489
124,136
124,263
124,950
125,266
125,1292
126,1101
127,274
127,780
127,1181
128,809
128,1457
129,832
129,1250
130,151
130,650
130,653
130,1339
131,262
131,465
131,1225
131,1439
132,270
132,627
132,1116
132,1166
133,452
133,796
133,844
133,1270
134,880
134,1280
134,1361
135,939
135,1444
136,263
136,936
136,1137
137,632
137,703
137,1452
138,681
138,1039
139,294
139,481
139,990
139,1047
139,1317
140,1006
140,1177
140,1285
141,1122
142,265
142,1125
142,1300
142,1424
143,376
143,1358
144,1120
144,1125
144,1255
144,1462
145,439
145,1294
146,160
146,980
146,1216
146,1410
146,1491
147,258
147,1062
147,1366
148,937
148,1121
149,233
149,1261
149,1317
150,498
150,530
150,852
150,1246
150,1296
151,1244
152,442
152,768
152,912
152,954
153,461
154,264
154,721
154,903
155,958
155,997
155,1287
156,157
156,198
156,338
156,676
156,828
156,1495
157,828
157,1306
157,1492
158,437
158,478
158,1187
159,928
159,1040
159,1109
159,1242
160,180
160,1203
160,1501
161,440
161,1001
162,426
162,579
162,1254
163,310
163,813
164,244
164,611
164,902
165,652
166,275
166,641
166,1071
167,918
168,637
168,1326
168,1415
169,567
169,1141
169,1194
169,1470
170,374
170,1050
170,1409
171,387
172,814
172,893
172,1172
173,321
173,429
175,322
175,1291
175,1454
176,851
177,487
177,683
177,720
177,955
178,401
178,591
178,832
179,609
179,1306
179,1460
180,752
180,1012
181,220
181,1094
181,1446
182,374
182,810
183,573
183,928
184,629
184,765
184,1292
185,240
185,933
185,1390
186,328
186,1230
187,1017
187,1205
188,438
188,876
188,1081
188,1172
189,345
189,499
189,774
190,453
190,586
191,1260
192,1088
192,1149
192,1175
192,1349
193,815
193,990
193,1257
193,1302
194,670
194,1148
195,1013
195,1442
196,358
196,594
196,678
196,1223
197,313
197,640
197,1000
197,1305
198,1495
199,924
199,1354
199,1462
200,361
200,566
200,905
201,355
201,1066
202,680
204,656
205,1419
206,844
206,1307
207,910
207,1239
208,1134
208,1376
208,1381
209,690
209,739
209,1113
210,979
210,1394
211,289
212,798
212,944
213,358
213,589
213,1285
214,344
214,536
214,1101
214,1469
215,255
215,294
215,1381
216,1134
216,1234
217,387
217,575
217,961
217,1385
218,457
218,1430
218,1432
219,513
219,624
219,1144
220,382
220,1179
221,566
221,1099
222,787
222,1084
223,474
223,522
223,851
223,1161
224,262
224,312
224,895
224,991
225,308
225,415
225,883
226,274
226,1031
226,1206
227,638
227,639
229,1143
230,281
230,1118
231,807
231,1013
231,1046
231,1176
232,1173
232,1435
233,948
233,1317
234,441
234,1374
235,866
235,1374
236,515
236,1070
236,1387
237,838
237,1048
237,1187
238,348
238,858
238,960
239,286
239,841
239,957
240,713
240,1390
241,253
241,652
241,1032
242,806
242,842
242,1305
242,1327
243,926
243,1231
243,1472
244,611
245,653
245,899
245,1005
245,1092
246,1312
246,1358
247,471
248,305
248,826
248,959
248,1084
249,799
249,1195
250,287
250,861
250,1230
251,908
252,309
253,514
253,727
253,1032
254,311
254,372
254,824
255,994
256,687
256,792
256,1357
257,617
257,962
257,1200
258,570
258,1014
259,717
260,531
261,1017
261,1136
262,335
262,991
262,1225
263,1239
263,1478
264,291
264,707
264,1276
265,353
265,696
265,1125
266,316
266,1012
266,1450
267,327
267,776
268,468
268,586
268,1079
268,1423
269,607
269,640
269,1052
269,1371
270,612
271,454
271,1476
272,914
272,1396
273,454
273,465
273,1232
274,718
274,780
274,1031
275,467
275,1325
276,466
276,616
276,1129
277,346
277,899
278,296
278,366
278,1372
278,1411
279,818
279,1486
280,361
280,543
280,1164
280,1473
281,622
281,1353
282,943
282,1176
282,1249
283,507
283,1302
283,1363
284,797
285,1021
285,1184
285,1209
286,495
286,646
286,841
286,916
287,1280
288,870
288,1209
289,1177
289,1295
290,447
290,1120
291,411
291,1213
292,886
293,697
293,1304
294,600
294,761
294,1047
295,459
295,1149
296,773
296,1389
296,1499
297,298
297,1471
298,364
298,827
298,1002
299,322
299,695
299,800
300,801
300,1294
300,1324
301,527
301,1251
302,1410
303,1341
303,1419
304,800
304,892
304,1274
305,826
305,1010
305,1473
306,864
306,1354
306,1385
307,862
307,1264
307,1306
308,560
308,1158
309,1044
309,1271
310,893
310,1446
311,910
311,949
312,491
312,895
313,830
314,496
314,559
314,795
314,1267
315,777
315,1180
315,1258
315,1382
316,1096
316,1450
317,1298
318,869
318,1346
318,1383
318,1386
319,872
319,1091
319,1100
320,430
320,1437
320,1471
321,1492
322,1454
323,404
323,798
323,994
323,1431
324,784
324,901
325,578
325,1180
326,445
327,474
327,1037
328,627
328,1236
329,1356
329,1436
330,945
331,961
331,1284
332,1057
332,1299
333,529
333,856
333,974
333,1028
334,347
335,822
336,903
336,1086
336,1215
336,1368
337,351
337,955
337,1077
338,1327
338,1367
339,399
339,1284
340,893
341,1344
341,1500
342,630
342,818
342,1016
343,1033
344,536
345,1203
345,1451
346,895
347,706
347,1143
348,858
348,1091
348,1231
348,1317
349,759
349,891
349,985
349,1112
350,957
350,1079
350,1137
351,568
352,1426
352,1449
353,665
353,781
354,740
354,900
354,1406
354,1413
355,820
355,849
355,992
356,776
356,857
356,873
356,1038
356,1233
357,428
357,1103
357,1214
358,1390
359,471
359,497
359,1330
360,1198
360,1470
360,1475
361,905
362,643
362,768
362,1418
363,1089
363,1130
364,1067
365,1045
365,1408
366,458
366,1411
367,473
367,606
367,1235
368,417
368,526
369,473
370,423
370,1165
371,375
371,568
371,713
371,1319
372,666
372,868
373,422
373,1250
374,810
374,930
375,720
375,1334
376,414
376,416
377,1132
377,1225
377,1240
377,1252
378,592
378,1047
378,1095
378,1472
379,542
379,642
379,983
379,1382
380,766
380,1493
381,801
381,1086
381,1185
381,1250
383,489
383,925
384,1065
385,574
385,1045
385,1401
386,969
386,1486
387,961
387,1270
388,534
388,786
388,884
388,1443
389,547
389,577
390,661
390,973
390,1150
391,739
391,1212
392,724
392,1082
392,1277
393,425
393,742
393,983
393,1258
394,1115
395,451
395,726
395,1392
396,499
396,1198
397,732
397,1162
397,1171
397,1340
398,1367
398,1418
398,1440
399,599
399,811
400,426
400,581
400,738
401,832
401,1238
402,415
402,1131
402,1142
403,923
404,523
404,798
405,460
406,605
406,938
406,1049
407,745
407,752
408,1269
409,944
409,1027
409,1428
410,605
410,1164
410,1359
411,449
411,564
411,701
411,1213
411,1218
412,540
412,778
413,740
413,1174
413,1413
414,546
415,1329
415,1459
416,997
416,1286
417,797
417,1359
419,855
419,877
419,1429
420,1022
420,1086
420,1448
421,569
421,1105
421,1438
422,1228
423,434
423,1134
423,1165
423,1234
424,1255
424,1462
425,681
426,738
426,804
426,934
426,1332
427,592
427,1292
428,1103
429,1115
429,1268
430,1110
430,1355
430,1471
431,740
431,1321
431,1440
432,897
433,1264
433,1272
434,1026
434,1234
436,648
437,860
437,1350
438,1350
438,1384
439,781
439,931
441,870
441,1378
442,520
442,806
442,954
443,1416
444,1396
445,537
446,816
446,857
446,1033
447,508
447,692
447,794
448,637
448,1116
448,1395
449,1151
450,940
451,613
451,1017
451,1303
452,501
452,1404
453,860
453,1037
454,1142
454,1329
455,909
455,1243
456,1053
456,1495
457,1430
459,824
460,516
460,1102
461,467
462,894
462,996
462,1406
463,590
463,932
463,980
463,1035
464,672
465,679
465,822
466,481
466,616
467,533
467,1325
468,1192
468,1356
469,702
470,642
470,1386
470,1414
471,567
471,1247
471,1370
472,1273
472,1324
473,606
473,830
473,1265
475,1357
475,1392
476,680
476,873
476,1073
477,794
477,1120
477,1121
478,667
478,960
479,888
479,1182
479,1189
480,1065
480,1069
482,514
482,911
483,631
483,1437
484,965
484,1168
484,1419
485,525
485,703
485,1057
485,1202
486,859
486,1251
486,1334
487,1274
487,1313
488,719
488,952
489,720
489,1313
490,497
490,808
491,1100
491,1170
491,1261
492,691
492,1046
492,1322
493,1190
493,1407
494,755
494,1428
495,1168
496,739
496,795
497,1055
498,1291
499,753
499,774
500,614
500,1207
500,1216
501,1488
502,1480
503,659
503,1423
504,630
504,949
504,1156
504,1204
505,723
505,846
505,1287
506,543
506,1109
506,1352
507,863
507,1103
508,1024
509,547
509,675
509,1212
509,1498
510,938
510,1420
511,580
511,816
512,788
512,913
513,539
513,878
513,897
513,1031
514,911
515,598
516,1102
516,1213
517,1490
518,920
518,1349
519,1008
519,1054
519,1283
520,1357
521,756
521,970
522,937
522,981
523,1451
524,1167
525,964
526,778
526,1075
527,778
527,1309
528,635
528,951
528,1329
529,974
529,1023
530,802
530,852
531,1028
532,877
532,1167
532,1187
533,548
533,710
533,1063
534,550
534,1004
534,1147
535,863
535,1016
535,1422
536,1418
537,953
538,924
538,954
539,947
539,1353
540,1150
540,1208
541,546
542,682
543,597
543,1352
544,561
544,660
544,730
544,1224
545,793
545,1108
547,675
547,1288
548,1063
550,1226
551,1385
552,736
552,741
552,1073
553,769
553,1153
553,1463
554,631
554,1296
555,918
555,926
556,647
556,1348
556,1447
557,785
557,1372
558,748
558,845
559,1211
560,1241
561,1006
561,1224
561,1387
562,1118
563,1030
563,1211
564,865
565,685
565,789
565,987
567,1141
567,1370
568,1004
569,1008
569,1389
570,745
571,820
571,1405
572,600
572,994
572,1237
572,1292
573,632
574,1401
575,1120
575,1424
576,597
576,1011
576,1309
577,585
578,885
580,1233
581,1479
582,763
583,819
584,618
584,751
585,1355
585,1406
586,1341
587,1095
587,1153
588,593
588,647
588,866
588,1481
589,690
589,1226
590,734
590,781
590,970
592,682
592,1096
592,1278
593,1147
594,1223
594,1387
595,725
595,1302
596,617
596,1254
596,1468
597,717
597,1352
599,1248
601,927
601,1487
602,1135
603,671
603,876
603,1266
604,677
604,737
604,1398
604,1486
605,854
605,1477
606,871
607,698
607,789
607,1151
608,1003
608,1198
609,656
609,1027
609,1413
610,984
610,1046
610,1487
611,1055
612,733
612,1107
613,924
614,1010
614,1163
615,755
615,1375
616,1090
617,1281
618,784
618,1059
618,1425
619,1299
619,1474
620,817
620,868
620,1068
621,948
621,988
621,1456
622,1199
623,901
624,1144
624,1458
625,673
625,775
625,1409
626,779
626,958
626,1042
627,636
628,657
628,733
628,1193
629,765
629,1203
630,818
630,1156
631,676
631,875
633,761
633,1153
634,905
635,976
636,951
637,1186
637,1300
637,1415
638,819
638,925
639,1174
640,1053
640,1263
641,1071
642,770
643,740
643,1310
644,942
644,1075
645,790
645,1206
646,1142
647,1447
647,1481
648,1035
649,650
649,1336
649,1456
650,1056
651,945
651,1032
652,1146
652,1287
653,899
653,1023
654,908
654,1129
654,1430
655,978
655,1320
656,772
657,1193
658,678
658,779
659,807
659,818
660,780
661,725
661,956
661,1150
662,956
662,1090
662,1344
663,1131
663,1447
665,781
665,962
666,868
666,1417
667,860
667,1025
667,1167
668,721
668,1217
669,1188
671,833
671,934
672,692
673,716
674,1020
674,1338
675,1288
675,1426
677,1398
678,1223
679,716
679,1135
681,1347
682,1096
682,1162
684,1412
685,1269
687,792
687,1347
688,913
688,1207
689,945
689,1467
692,1224
693,1002
693,1009
693,1319
694,834
694,1450
694,1464
695,1390
696,898
696,1078
697,939
697,1197
698,721
698,1217
700,930
701,906
702,1182
703,1452
705,842
705,989
705,999
705,1246
706,1085
707,789
709,922
709,1073
710,995
710,1063
712,727
712,1178
712,1221
712,1467
713,904
713,915
713,1499
714,857
714,1192
715,982
715,1124
717,1159
718,1245
718,1458
719,952
719,1039
722,940
722,1030
723,831
723,1220
723,1253
724,769
724,1463
725,1416
727,1467
728,762
728,1118
729,992
730,1186
730,1311
730,1343
731,1235
731,1467
732,1251
732,1394
733,848
734,889
734,980
734,1358
735,1157
735,1320
735,1326
736,803
736,1106
737,763
737,1441
741,876
741,1453
743,1119
744,950
744,1363
745,777
745,1060
746,1077
746,1371
746,1403
748,840
748,929
748,1042
749,1094
749,1388
749,1424
750,1097
751,1149
752,823
752,1410
753,1052
753,1371
754,856
755,1049
756,1373
756,1479
757,1465
758,1124
758,1402
760,1360
760,1400
761,1463
762,1133
762,1140
763,877
764,1296
765,1201
766,1311
767,941
767,1259
768,875
768,912
768,1418
769,1431
769,1463
770,1278
771,1441
772,1256
773,1194
773,1417
773,1438
773,1499
775,910
776,873
778,1309
779,1042
780,1046
782,1283
782,1438
783,1089
783,1201
783,1262
783,1482
784,1175
785,1009
786,1036
786,1184
788,1035
789,1263
790,1485
791,862
791,1279
791,1412
793,1145
794,1006
795,1310
798,1082
798,1272
798,1307
799,1435
800,1196
800,1443
801,1185
801,1294
802,1473
803,1106
804,998
804,1295
805,1190
806,1246
806,1327
808,1301
809,1127
809,1335
810,1281
811,1252
812,859
812,1251
812,1369
813,992
813,1346
814,986
814,1405
817,1020
818,1249
819,1412
821,827
822,1145
823,1397
824,1318
825,1316
826,1010
826,1164
829,1252
829,1404
830,1265
831,1448
833,1290
833,1498
834,1143
834,1275
835,1209
835,1348
836,1205
836,1271
837,1266
837,1449
838,1048
839,958
839,1154
839,1333
841,978
841,1421
842,999
842,1083
842,1246
843,1030
843,1108
843,1168
843,1321
843,1488
845,1332
845,1391
846,967
847,1206
847,1330
848,932
849,1074
849,1462
850,853
850,1461
851,1233
852,1076
852,1289
852,1351
853,1181
853,1486
854,1407
855,872
855,1104
855,1429
856,1005
858,1244
858,1478
859,1090
861,1166
861,1179
861,1230
862,938
863,1079
864,1242
864,1385
864,1434
866,1226
867,1479
868,921
869,1071
869,1383
869,1386
870,1101
870,1209
870,1469
871,909
872,1104
874,1111
874,1201
874,1501
876,1266
878,1031
878,1084
878,1311
878,1345
879,1282
879,1484
880,1112
880,1280
880,1429
881,1184
882,1171
883,951
883,1158
884,1053
884,1241
885,1229
887,1015
887,1306
888,1003
888,1182
888,1459
889,1304
890,1072
891,1112
891,1191
894,956
896,916
896,978
897,1202
897,1452
898,931
898,1393
899,1219
900,1097
900,1214
902,936
903,1215
906,1491
907,1157
908,1253
909,1138
911,1044
912,1418
913,1160
913,1186
913,1415
914,1396
915,1147
915,1408
916,965
917,1335
917,1342
918,1423
919,1238
919,1368
920,971
920,1380
921,950
921,1239
922,1210
923,1222
923,1324
924,946
926,1472
928,1445
928,1465
929,1379
930,1091
930,1361
931,1294
932,1035
932,1236
933,1297
934,1295
934,1391
935,1078
935,1312
936,1137
936,1427
937,981
938,1420
940,1113
941,1161
941,1282
941,1314
942,1419
943,1088
943,1283
947,1070
947,1454
948,988
948,1244
951,1128
952,1039
952,1146
953,966
955,1015
958,1333
959,1301
961,1099
961,1284
962,1166
962,1281
963,1448
964,1210
965,966
966,1326
968,1007
968,1493
969,1107
971,1369
972,1337
972,1348
973,1369
975,1336
978,1055
979,1057
980,1410
981,1498
982,1313
983,1258
984,1343
985,1114
985,1307
985,1362
986,1325
986,1405
987,1448
989,1076
989,1235
990,1317
991,1455
993,1097
993,1212
993,1400
994,1237
995,1041
995,1063
995,1106
995,1110
998,1295
998,1322
999,1291
1001,1080
1003,1316
1004,1443
1005,1092
1005,1273
1007,1163
1009,1319
1010,1111
1014,1461
1015,1198
1016,1427
1018,1074
1018,1497
1019,1211
1019,1418
1019,1440
1021,1184
1021,1185
1024,1393
1025,1423
1026,1178
1026,1357
1027,1440
1028,1086
1029,1445
1029,1465
1030,1119
1033,1208
1033,1340
1034,1048
1034,1386
1035,1098
1038,1314
1038,1341
1039,1221
1040,1242
1041,1106
1041,1110
1042,1391
1043,1044
1043,1067
1043,1500
1044,1500
1045,1297
1049,1148
1050,1478
1052,1268
1053,1443
1054,1377
1057,1366
1058,1363
1059,1425
1060,1197
1061,1408
1061,1421
1062,1366
1062,1444
1064,1183
1065,1136
1065,1496
1066,1347
1069,1127
1069,1134
1072,1243
1074,1388
1076,1351
1077,1131
1077,1403
1078,1493
1079,1423
1080,1336
1081,1172
1083,1495
1084,1311
1085,1123
1086,1368
1088,1308
1088,1349
1089,1262
1089,1351
1089,1482
1092,1476
1093,1128
1093,1135
1093,1409
1095,1162
1095,1369
1096,1382
1097,1214
1100,1261
1101,1342
1101,1469
1102,1318
1103,1192
1104,1278
1108,1188
1108,1455
1108,1488
1109,1434
1112,1237
1116,1166
1117,1191
1118,1454
1121,1354
1122,1360
1126,1293
1131,1403
1132,1252
1133,1473
1134,1234
1136,1336
1138,1243
1138,1291
1139,1484
1139,1489
1140,1345
1140,1494
1142,1320
1144,1223
1146,1183
1146,1286
1154,1458
1155,1328
1155,1482
1156,1425
1158,1269
1160,1316
1162,1472
1163,1328
1163,1494
1164,1485
1166,1230
1168,1488
1169,1203
1169,1218
1170,1277
1170,1365
1171,1340
1173,1435
1176,1249
1178,1221
1179,1466
1181,1245
1186,1415
1188,1455
1190,1407
1194,1377
1195,1444
1202,1366
1206,1330
1211,1469
1216,1501
1220,1318
1222,1405
1222,1483
1225,1439
1226,1285
1227,1456
1228,1286
1231,1257
1231,1317
1232,1248
1240,1362
1240,1428
1247,1394
1248,1439
1249,1427
1252,1439
1255,1354
1255,1462
1257,1422
1258,1382
1262,1298
1264,1272
1267,1315
1273,1337
1274,1495
1275,1383
1277,1432
1279,1412
1280,1361
1282,1314
1283,1308
1284,1424
1290,1315
1293,1392
1295,1384
1303,1342
1304,1397
1307,1362
1312,1358
1323,1421
1324,1483
1339,1364
1343,1484
1346,1429
1350,1442
1355,1400
1356,1436
1367,1492
1372,1389
1378,1396
1378,1469
1380,1474
1389,1417
1403,1475
1417,1480
1426,1435
1442,1486
1446,1468
1450,1464
1460,1492
