mol_id_1,mol_id_2
1,2
1,18
1,164
1,244
1,847
1,943
1,1088
1,1283
1,1308
1,1370
2,18
2,244
2,274
2,610
2,704
2,780
2,850
3,192
3,258
3,518
3,704
3,847
3,943
3,1308
3,1349
3,1380
4,127
4,226
4,274
4,704
4,780
4,878
4,1031
4,1206
4,1330
5,443
5,585
5,621
5,750
5,993
5,1001
5,1097
5,1214
5,1227
6,116
6,143
6,302
6,436
6,664
6,823
6,1155
6,1312
6,1358
7,38
7,70
7,517
7,711
7,1122
7,1266
7,1325
7,1360
8,88
8,346
8,602
8,700
8,759
8,1091
8,1132
8,1261
9,162
9,172
9,558
9,591
9,814
9,845
9,1172
9,1332
10,58
10,125
10,266
10,324
10,418
10,587
10,699
10,901
10,1153
11,117
11,135
11,488
11,541
11,952
11,1067
11,1146
11,1183
12,317
12,651
12,689
12,705
12,945
12,989
12,1126
12,1178
12,1235
12,1357
13,424
13,571
13,820
13,849
13,893
13,1074
13,1388
13,1446
13,1462
14,62
14,343
14,476
14,524
14,717
14,857
14,873
14,977
14,1033
14,1159
15,305
15,500
15,512
15,614
15,968
15,1010
15,1140
15,1311
15,1494
16,57
16,79
16,174
16,522
16,561
16,691
16,767
16,1006
16,1282
17,49
17,186
17,326
17,445
17,448
17,599
17,637
17,1300
17,1395
18,164
18,244
18,850
18,943
18,1176
19,46
19,108
19,407
19,745
19,752
19,1193
19,1304
19,1397
20,272
20,389
20,509
20,757
20,914
20,937
20,1040
20,1288
20,1310
21,399
21,811
21,861
21,891
21,1117
21,1191
21,1284
22,53
22,327
22,438
22,833
22,1037
22,1295
22,1498
23,300
23,439
23,801
23,871
23,881
23,931
23,1021
23,1185
23,1250
23,1393
24,192
24,324
24,518
24,628
24,747
24,784
24,901
24,1149
24,1175
24,1349
25,237
25,770
25,855
25,877
25,1104
25,1167
25,1187
25,1414
25,1472
26,320
26,483
26,821
26,982
26,996
26,1313
26,1399
26,1465
27,33
27,171
27,356
27,511
27,796
27,1087
27,1233
27,1314
27,1341
28,41
28,45
28,347
28,493
28,566
28,670
28,706
28,1085
28,1112
28,1190
29,97
29,566
29,575
29,708
29,946
29,1123
29,1434
30,118
30,185
30,299
30,515
30,562
30,598
30,695
30,800
30,904
30,1390
31,148
31,272
31,864
31,914
31,937
31,1029
31,1121
31,1445
32,251
32,486
32,557
32,785
32,859
32,1009
32,1054
32,1090
32,1334
32,1377
33,171
33,356
33,797
33,851
33,1233
34,122
34,458
34,502
34,817
34,840
34,933
34,1045
34,1417
35,145
35,246
35,521
35,591
35,756
35,970
35,1254
35,1294
35,1373
36,128
36,214
36,344
36,451
36,536
36,809
36,1127
36,1188
36,1335
36,1440
37,64
37,251
37,341
37,693
37,908
37,1009
37,1500
38,70
38,141
38,228
38,385
38,517
38,840
38,845
38,1122
38,1360
39,420
39,651
39,963
39,987
39,1022
39,1032
39,1217
40,76
40,168
40,655
40,916
40,1160
40,1320
41,65
41,566
41,706
41,805
41,1085
41,1089
41,1130
41,1190
42,608
42,655
42,663
42,841
42,978
42,1141
42,1403
42,1475
43,154
43,291
43,457
43,668
43,721
43,1213
43,1318
43,1430
44,51
44,473
44,685
44,972
44,1086
44,1185
45,229
45,323
45,349
45,404
45,706
45,985
45,1143
45,1190
46,102
46,293
46,579
46,853
46,969
46,1014
46,1107
46,1304
46,1461
47,228
47,517
47,558
47,748
47,929
47,974
47,1056
47,1068
47,1379
48,50
48,219
48,598
48,624
48,1118
48,1154
48,1331
48,1402
48,1444
49,57
49,142
49,1259
49,1282
49,1300
49,1424
50,678
50,839
50,958
50,1064
50,1154
50,1331
50,1402
50,1444
51,313
51,388
51,786
51,884
51,1241
51,1263
51,1265
52,112
52,276
52,686
52,725
52,1165
52,1376
52,1381
52,1416
53,141
53,391
53,603
53,833
53,837
53,981
53,1498
54,261
54,649
54,650
54,726
54,986
54,1136
54,1325
54,1336
54,1490
55,210
55,247
55,292
55,645
55,790
55,886
55,979
55,1206
55,1485
56,141
56,211
56,391
56,690
56,833
56,1042
56,1290
56,1297
56,1391
57,445
57,767
57,879
57,1139
57,1259
57,1282
57,1300
57,1484
57,1489
58,125
58,324
58,516
58,623
58,1169
58,1218
58,1463
59,145
59,300
59,424
59,439
59,696
59,898
59,931
59,1018
59,1294
59,1497
60,254
60,372
60,505
60,831
60,846
60,910
61,227
61,661
61,772
61,956
61,1256
62,343
62,524
62,542
62,682
62,926
62,977
62,1033
